_id,iso_code,continent,location,date,gdp_per_capita,handwashing_facilities,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,female_smokers,male_smokers
64d268a0c7e1b733c92b9a71,DZA,Africa,Algeria,21/11/2021,13913.839,83.741,208839,4650.868,6017,12008974,6697263,5298544,13167,0.7,30.4
64d268a0c7e1b733c92b9a75,DZA,Africa,Algeria,25/11/2021,13913.839,83.741,209463,4664.765,6035,12076870,6716299,5340231,20340,0.7,30.4
64d268a0c7e1b733c92b9a79,DZA,Africa,Algeria,29/11/2021,13913.839,83.741,210152,4680.109,6058,12145830,6740064,5380385,25381,0.7,30.4
64d268a0c7e1b733c92b9add,DZA,Africa,Algeria,09/03/2022,13913.839,83.741,265323,5908.773,6858,13704895,7461932,6110712,490676,0.7,30.4
64d268a0c7e1b733c92b9b0b,DZA,Africa,Algeria,24/04/2022,13913.839,83.741,265761,5918.528,6874,13772044,7840131,6481186,514063,0.7,30.4
64d268a0c7e1b733c92b9b12,DZA,Africa,Algeria,01/05/2022,13913.839,83.741,265780,5918.951,6875,15205854,7840131,6481186,514063,0.7,30.4
64d268a0c7e1b733c92b9b90,DZA,Africa,Algeria,04/09/2022,13913.839,83.741,270426,6022.418,6878,15267442,7840131,6481186,575651,0.7,30.4
64d268a0c7e1b733c92bbe5a,ARM,Asia,Armenia,26/12/2021,8787.58,94.043,344481,123892.994,7943,1626738,934028,692082,628,1.5,52.1
64d268a0c7e1b733c92bbe61,ARM,Asia,Armenia,02/01/2022,8787.58,94.043,345007,124082.17,7977,1660256,944784,714685,787,1.5,52.1
64d268a0c7e1b733c92bbe68,ARM,Asia,Armenia,09/01/2022,8787.58,94.043,345855,124387.154,8001,1694518,952813,740489,1216,1.5,52.1
64d268a0c7e1b733c92bbe70,ARM,Asia,Armenia,17/01/2022,8787.58,94.043,347785,125081.281,8020,1761529,973944,784849,2736,1.5,52.1
64d268a0c7e1b733c92bbe76,ARM,Asia,Armenia,23/01/2022,8787.58,94.043,351711,126493.272,8028,1825382,999891,819841,5650,1.5,52.1
64d268a0c7e1b733c92bbe7d,ARM,Asia,Armenia,30/01/2022,8787.58,94.043,366433,131788.056,8046,1883413,1032249,842213,8951,1.5,52.1
64d268a0c7e1b733c92bbe84,ARM,Asia,Armenia,06/02/2022,8787.58,94.043,389957,140248.49,8086,1925556,1054178,858981,12397,1.5,52.1
64d268a0c7e1b733c92bbea7,ARM,Asia,Armenia,13/03/2022,8787.58,94.043,422004,151774.231,8572,2088962,1113472,948778,31064,1.5,52.1
64d268a0c7e1b733c92bbeae,ARM,Asia,Armenia,20/03/2022,8787.58,94.043,422307,151883.205,8595,2107032,1118674,959116,33978,1.5,52.1
64d268a0c7e1b733c92bc036,ARM,Asia,Armenia,16/04/2023,8787.58,94.043,448846,161427.988,8745,2154067,1120934,995131,44102,1.5,52.1
64d268a0c7e1b733c92bc052,ARM,Asia,Armenia,14/05/2023,8787.58,94.043,449148,161536.602,8749,2156999,1122040,996169,44890,1.5,52.1
64d268a0c7e1b733c92bc067,ARM,Asia,Armenia,04/06/2023,8787.58,94.043,449213,161559.98,8750,2158796,1122646,996804,45446,1.5,52.1
