_id,iso_code,continent,location,date,new_deaths,total_cases_per_million,median_age,aged_65_older,gdp_per_capita,handwashing_facilities,new_tests_smoothed,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,extreme_poverty,female_smokers,male_smokers,hosp_patients_per_million,excess_mortality_cumulative_absolute,weekly_icu_admissions_per_million
64d29d73c7e1b733c9309436,AFG,Asia,Afghanistan,04/01/2020,0,4.036,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c9309437,AFG,Asia,Afghanistan,07/01/2020,2,762.459,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c9309438,AFG,Asia,Afghanistan,10/01/2020,0,954.757,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c9309439,AFG,Asia,Afghanistan,01/01/2021,12,1276.795,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c930943a,AFG,Asia,Afghanistan,04/01/2021,5,1374.148,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c930943b,AFG,Asia,Afghanistan,07/01/2021,91,2922.917,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c930943c,AFG,Asia,Afghanistan,10/01/2021,2,3770.329,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c930943d,AFG,Asia,Afghanistan,01/01/2022,0,3843.027,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c930943e,AFG,Asia,Afghanistan,04/01/2022,5,4321.719,18.6,2.581,1803.987,37.746,1066,,,,,,,,,,
64d29d73c7e1b733c930943f,AFG,Asia,Afghanistan,07/01/2022,1,4437.964,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c9309440,AFG,Asia,Afghanistan,10/01/2022,0,4843.373,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c9309441,AFG,Asia,Afghanistan,01/01/2023,0,5047.051,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c9309442,AFG,Asia,Afghanistan,04/01/2023,1,5120.065,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c9309443,AFG,Asia,Afghanistan,07/01/2023,0,5428.803,18.6,2.581,1803.987,37.746,,,,,,,,,,,
64d29d73c7e1b733c9309444,OWID_AFR,,Africa,04/01/2020,83,4.356,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309445,OWID_AFR,,Africa,07/01/2020,337,289.169,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309446,OWID_AFR,,Africa,10/01/2020,310,1045.166,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309447,OWID_AFR,,Africa,01/01/2021,693,1946.85,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309448,OWID_AFR,,Africa,04/01/2021,330,2990.958,,,,,,11729825,7901390,4097537,,,,,,,
64d29d73c7e1b733c9309449,OWID_AFR,,Africa,07/01/2021,750,3902.044,,,,,,49084712,33270436,15762643,,,,,,,
64d29d73c7e1b733c930944a,OWID_AFR,,Africa,10/01/2021,333,5892.681,,,,,,150216634,93894642,60460828,,,,,,,
64d29d73c7e1b733c930944b,OWID_AFR,,Africa,01/01/2022,265,6942.378,,,,,,304142817,193994506,125170954,909609,,,,,,
64d29d73c7e1b733c930944c,OWID_AFR,,Africa,04/01/2022,23,8365.813,,,,,,443277653,279961399,208095707,18869050,,,,,,
64d29d73c7e1b733c930944d,OWID_AFR,,Africa,07/01/2022,20,8778.037,,,,,,545533222,327556313,255308274,29977399,,,,,,
64d29d73c7e1b733c930944e,OWID_AFR,,Africa,10/01/2022,1,9024.336,,,,,,638914612,404927511,322335439,51130552,,,,,,
64d29d73c7e1b733c930944f,OWID_AFR,,Africa,01/01/2023,6,9112.672,,,,,,734933334,478686478,392923273,63048828,,,,,,
64d29d73c7e1b733c9309450,OWID_AFR,,Africa,04/01/2023,3,9163.048,,,,,,790476066,514880327,426525494,82747231,,,,,,
64d29d73c7e1b733c9309451,OWID_AFR,,Africa,07/01/2023,0,9183.252,,,,,,833311909,540449082,447460635,91382403,,,,,,
64d29d73c7e1b733c9309452,ALB,Europe,Albania,04/01/2020,1,78.457,38,13.188,11803.431,,112,,,,,1.1,7.1,51.2,,,
64d29d73c7e1b733c9309453,ALB,Europe,Albania,07/01/2020,3,867.602,38,13.188,11803.431,,355,,,,,1.1,7.1,51.2,,,
64d29d73c7e1b733c9309454,ALB,Europe,Albania,10/01/2020,4,4755.977,38,13.188,11803.431,,850,,,,,1.1,7.1,51.2,,,
64d29d73c7e1b733c9309455,ALB,Europe,Albania,01/01/2021,4,20309.832,38,13.188,11803.431,,2162,,,,,1.1,7.1,51.2,,,
64d29d73c7e1b733c9309456,ALB,Europe,Albania,04/01/2021,11,43880.734,38,13.188,11803.431,,2798,155463,,,,1.1,7.1,51.2,,,
64d29d73c7e1b733c9309457,ALB,Europe,Albania,07/01/2021,0,46621.807,38,13.188,11803.431,,2823,974486,567084,407402,,1.1,7.1,51.2,,,
64d29d73c7e1b733c9309458,ALB,Europe,Albania,10/01/2021,17,59621.056,38,13.188,11803.431,,3782,1749106,948553,800553,,1.1,7.1,51.2,,,
64d29d73c7e1b733c9309459,ALB,Europe,Albania,01/01/2022,3,73713.075,38,13.188,11803.431,,3812,,,,,1.1,7.1,51.2,,,
64d29d73c7e1b733c930945a,ALB,Europe,Albania,04/01/2022,0,96262.276,38,13.188,11803.431,,275,,,,,1.1,7.1,51.2,,,
64d29d73c7e1b733c930945b,ALB,Europe,Albania,07/01/2022,1,98411.578,38,13.188,11803.431,,,,,,,1.1,7.1,51.2,,,
64d29d73c7e1b733c930945c,ALB,Europe,Albania,10/01/2022,0,116463.745,38,13.188,11803.431,,,,,,,1.1,7.1,51.2,,,
64d29d73c7e1b733c930945d,ALB,Europe,Albania,01/01/2023,0,117085.421,38,13.188,11803.431,,,,,,,1.1,7.1,51.2,,,
64d29d73c7e1b733c930945e,ALB,Europe,Albania,04/01/2023,0,117462.578,38,13.188,11803.431,,,,,,,1.1,7.1,51.2,,,
64d29d73c7e1b733c930945f,ALB,Europe,Albania,07/01/2023,0,117541.387,38,13.188,11803.431,,,,,,,1.1,7.1,51.2,,,
64d29d73c7e1b733c9309460,DZA,Africa,Algeria,04/01/2020,9,15.945,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c9309461,DZA,Africa,Algeria,07/01/2020,7,309.71,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c9309462,DZA,Africa,Algeria,10/01/2020,10,1147.579,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c9309463,DZA,Africa,Algeria,01/01/2021,5,2218.326,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c9309464,DZA,Africa,Algeria,04/01/2021,4,2609.879,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c9309465,DZA,Africa,Algeria,07/01/2021,8,3109.487,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c9309466,DZA,Africa,Algeria,10/01/2021,7,4528.828,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c9309467,DZA,Africa,Algeria,01/01/2022,5,4864.506,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c9309468,DZA,Africa,Algeria,04/01/2022,0,5916.523,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c9309469,DZA,Africa,Algeria,07/01/2022,0,5925.788,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c930946a,DZA,Africa,Algeria,10/01/2022,0,6028.052,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c930946b,DZA,Africa,Algeria,01/01/2023,0,6040.033,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c930946c,DZA,Africa,Algeria,04/01/2023,0,6048.207,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c930946d,DZA,Africa,Algeria,07/01/2023,0,6054.175,29.1,6.211,13913.839,83.741,,,,,,0.5,0.7,30.4,,,
64d29d73c7e1b733c930946e,ASM,Oceania,American Samoa,04/01/2020,0,,,,,,,,,,,,,,,,
64d29d73c7e1b733c930946f,ASM,Oceania,American Samoa,07/01/2020,0,,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309470,ASM,Oceania,American Samoa,10/01/2020,0,,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309471,ASM,Oceania,American Samoa,01/01/2021,0,,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309472,ASM,Oceania,American Samoa,04/01/2021,0,,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309473,ASM,Oceania,American Samoa,07/01/2021,0,,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309474,ASM,Oceania,American Samoa,10/01/2021,0,22.576,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309475,ASM,Oceania,American Samoa,01/01/2022,0,248.335,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309476,ASM,Oceania,American Samoa,04/01/2022,0,86172.254,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309477,ASM,Oceania,American Samoa,07/01/2022,0,146856.304,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309478,ASM,Oceania,American Samoa,10/01/2022,0,186251.27,,,,,,,,,,,,,,,
64d29d73c7e1b733c9309479,ASM,Oceania,American Samoa,01/01/2023,0,187041.427,,,,,,,,,,,,,,,
64d29d73c7e1b733c930947a,ASM,Oceania,American Samoa,04/01/2023,0,187967.039,,,,,,,,,,,,,,,
64d29d73c7e1b733c930947b,ASM,Oceania,American Samoa,07/01/2023,0,188102.495,,,,,,,,,,,,,,,
64d29d73c7e1b733c930947c,AND,Europe,Andorra,04/01/2020,1,4959.733,,,,,,,,,,,29,37.8,,,
64d29d73c7e1b733c930947d,AND,Europe,Andorra,07/01/2020,0,10708.515,,,,,,,,,,,29,37.8,,,
64d29d73c7e1b733c930947e,AND,Europe,Andorra,10/01/2020,0,25675.388,,,,,660,,,,,,29,37.8,,,
