_id,iso_code,continent,location,date,stringency_index,median_age,gdp_per_capita,handwashing_facilities,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_boosters_per_hundred,female_smokers,male_smokers
64d559af041874b85a855174,DZA,Africa,Algeria,21/11/2021,39.81,29.1,13913.839,83.741,208839,4650.868,6017,12008974,6697263,5298544,13167,0.03,0.7,30.4
64d559af041874b85a855178,DZA,Africa,Algeria,25/11/2021,39.81,29.1,13913.839,83.741,209463,4664.765,6035,12076870,6716299,5340231,20340,0.05,0.7,30.4
64d559af041874b85a85517c,DZA,Africa,Algeria,29/11/2021,50,29.1,13913.839,83.741,210152,4680.109,6058,12145830,6740064,5380385,25381,0.06,0.7,30.4
64d559af041874b85a8551e0,DZA,Africa,Algeria,09/03/2022,33.59,29.1,13913.839,83.741,265323,5908.773,6858,13704895,7461932,6110712,490676,1.09,0.7,30.4
64d559af041874b85a85520e,DZA,Africa,Algeria,24/04/2022,33.44,29.1,13913.839,83.741,265761,5918.528,6874,13772044,7840131,6481186,514063,1.14,0.7,30.4
64d559af041874b85a855215,DZA,Africa,Algeria,01/05/2022,33.44,29.1,13913.839,83.741,265780,5918.951,6875,15205854,7840131,6481186,514063,1.14,0.7,30.4
64d559af041874b85a855293,DZA,Africa,Algeria,04/09/2022,33.44,29.1,13913.839,83.741,270426,6022.418,6878,15267442,7840131,6481186,575651,1.28,0.7,30.4
64d559b0041874b85a858eb9,AZE,Asia,Azerbaijan,08/11/2021,61,32.4,15847.419,83.241,547281,52836.154,7269,9917741,4997514,4435101,485126,4.68,0.3,42.5
64d559b0041874b85a858eba,AZE,Asia,Azerbaijan,09/11/2021,60.99,32.4,15847.419,83.241,548591,52962.625,7293,9928938,4999583,4438477,490878,4.74,0.3,42.5
64d559b0041874b85a858ebc,AZE,Asia,Azerbaijan,11/11/2021,60.91,32.4,15847.419,83.241,552322,53322.827,7342,9983606,5007657,4454456,521493,5.03,0.3,42.5
64d559b0041874b85a858ebd,AZE,Asia,Azerbaijan,12/11/2021,60.86,32.4,15847.419,83.241,554096,53494.094,7372,10021688,5012689,4464036,544963,5.26,0.3,42.5
64d559b0041874b85a858ebe,AZE,Asia,Azerbaijan,13/11/2021,60.81,32.4,15847.419,83.241,556430,53719.426,7397,10062192,5018158,4473436,570598,5.51,0.3,42.5
64d559b0041874b85a858ebf,AZE,Asia,Azerbaijan,14/11/2021,60.78,32.4,15847.419,83.241,558431,53912.608,7416,10092423,5022350,4480614,589459,5.69,0.3,42.5
64d559b0041874b85a858ec0,AZE,Asia,Azerbaijan,15/11/2021,60.78,32.4,15847.419,83.241,560853,54146.435,7445,10092763,5022490,4480735,589538,5.69,0.3,42.5
64d559b0041874b85a858ec1,AZE,Asia,Azerbaijan,16/11/2021,60.74,32.4,15847.419,83.241,561925,54249.929,7471,10132050,5028482,4490360,613208,5.92,0.3,42.5
64d559b0041874b85a858ec2,AZE,Asia,Azerbaijan,17/11/2021,60.7,32.4,15847.419,83.241,563940,54444.464,7502,10165834,5033346,4498072,634416,6.12,0.3,42.5
64d559b0041874b85a858ec3,AZE,Asia,Azerbaijan,18/11/2021,60.66,32.4,15847.419,83.241,565965,54639.963,7524,10201533,5038225,4505772,657536,6.35,0.3,42.5
64d559b0041874b85a858ec4,AZE,Asia,Azerbaijan,19/11/2021,60.62,32.4,15847.419,83.241,568089,54845.02,7551,10234106,5042611,4512674,678821,6.55,0.3,42.5
64d559b0041874b85a858ec5,AZE,Asia,Azerbaijan,20/11/2021,60.6,32.4,15847.419,83.241,570322,55060.601,7579,10267178,5047093,4519516,700569,6.76,0.3,42.5
64d559b0041874b85a858ec6,AZE,Asia,Azerbaijan,21/11/2021,60.57,32.4,15847.419,83.241,572085,55230.806,7599,10292434,5050602,4524841,716991,6.92,0.3,42.5
64d559b0041874b85a858ec7,AZE,Asia,Azerbaijan,22/11/2021,60.57,32.4,15847.419,83.241,573974,55413.176,7624,10292495,5050605,4524851,717039,6.92,0.3,42.5
64d559b0041874b85a858ec8,AZE,Asia,Azerbaijan,23/11/2021,60.53,32.4,15847.419,83.241,574799,55492.824,7657,10328843,5055303,4532579,740961,7.15,0.3,42.5
64d559b0041874b85a858ec9,AZE,Asia,Azerbaijan,24/11/2021,60.5,32.4,15847.419,83.241,576703,55676.642,7686,10363317,5059543,4538992,764782,7.38,0.3,42.5
64d559b0041874b85a858eca,AZE,Asia,Azerbaijan,25/11/2021,60.47,32.4,15847.419,83.241,578627,55862.391,7709,10396037,5063688,4544439,787910,7.61,0.3,42.5
64d559b0041874b85a858ecb,AZE,Asia,Azerbaijan,26/11/2021,60.45,32.4,15847.419,83.241,580507,56043.892,7736,10426930,5067433,4549652,809845,7.82,0.3,42.5
64d559b0041874b85a858ecc,AZE,Asia,Azerbaijan,27/11/2021,60.42,32.4,15847.419,83.241,582504,56236.688,7767,10460120,5071264,4555457,833399,8.05,0.3,42.5
64d559b0041874b85a858ecd,AZE,Asia,Azerbaijan,28/11/2021,60.4,32.4,15847.419,83.241,584121,56392.798,7789,10486650,5074275,4559863,852512,8.23,0.3,42.5
64d559b0041874b85a858ece,AZE,Asia,Azerbaijan,29/11/2021,60.4,32.4,15847.419,83.241,585783,56553.252,7807,10486947,5074341,4559877,852729,8.23,0.3,42.5
64d559b0041874b85a858ecf,AZE,Asia,Azerbaijan,30/11/2021,60.37,32.4,15847.419,83.241,586640,56635.99,7833,10527605,5079349,4566911,881345,8.51,0.3,42.5
64d559b0041874b85a858ed0,AZE,Asia,Azerbaijan,01/12/2021,60.33,32.4,15847.419,83.241,588318,56797.989,7856,10567919,5083530,4573036,911353,8.8,0.3,42.5
64d559b0041874b85a858ed1,AZE,Asia,Azerbaijan,02/12/2021,60.31,32.4,15847.419,83.241,590113,56971.284,7884,10604976,5087717,4578492,938767,9.06,0.3,42.5
64d559b0041874b85a858ed2,AZE,Asia,Azerbaijan,03/12/2021,60.29,32.4,15847.419,83.241,591885,57142.358,7905,10639817,5091635,4583569,964613,9.31,0.3,42.5
64d559b0041874b85a858ed3,AZE,Asia,Azerbaijan,04/12/2021,60.26,32.4,15847.419,83.241,593588,57306.771,7929,10675649,5095524,4588915,991210,9.57,0.3,42.5
